event_type,event_type_new
walk-in,walkout
walk-out,walkout
Walk-Out,walkout
walkin,walkout
Walkout and Rally,walkout; rally
Walkout,walkout
walkout: sit-in,walkout; sit-in
walkout/march,walkout
walkout/rally,walkout
walkouts,walkout
walkut,walkout
wildcat strike,strike
work stoppage,strike
work strike,strike
work-to-rule protest,work to rule
